วันที่,เปิด,สูงสุด,ต่ำสุด,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-10-19,-0.9,0.1,-1.0,0.1,0.1,-0.6,-1.1,-1.4,-2.0,-2.7,-3.6
2017-10-20,-0.2,0.4,-0.8,1.4,1.4,-1.3,-2.2,-2.4,-3.2,-3.7,-4.6
2017-10-23,0.2,0.7,-0.1,-0.2,-0.2,-0.8,-1.7,-2.1,-2.7,-3.2,-4.1
2017-10-24,-1.0,0.3,-1.1,1.6,1.6,-1.7,-2.9,-3.3,-3.8,-4.5,-5.3
2017-10-25,0.2,0.4,-0.8,0.1,0.1,-1.2,-2.6,-3.1,-3.6,-4.3,-5.0
2017-10-26,-0.4,0.7,-0.4,0.7,0.7,-1.2,-2.7,-3.5,-4.0,-4.7,-5.3
2017-10-27,-0.3,0.5,-0.7,0.0,0.0,-0.8,-2.1,-3.2,-3.7,-4.4,-5.0
2017-10-30,-0.3,0.5,-0.5,-0.4,-0.4,-0.0,-1.4,-2.5,-3.1,-3.8,-4.4
2017-10-31,0.8,1.1,-0.0,-0.8,-0.8,0.7,-0.4,-1.5,-2.1,-2.7,-3.4
2017-11-01,0.2,0.8,-0.2,0.3,0.3,0.4,-0.4,-1.5,-2.1,-2.7,-3.4
