วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-12-01,0.3,1.0,-2.3,0.0,0.0,-1.7,-3.2,-3.7,-3.6,-3.4,-3.3
2017-12-04,-0.1,1.1,-0.6,2.1,2.1,-2.2,-4.4,-5.3,-5.4,-5.2,-5.1
2017-12-05,0.6,1.0,-0.5,-0.7,-0.7,-0.8,-3.1,-4.2,-4.5,-4.3,-4.3
2017-12-06,1.1,1.4,-0.5,-1.4,-1.4,0.8,-1.3,-2.5,-3.0,-2.8,-2.8
2017-12-07,-0.4,0.5,-1.0,-0.6,-0.6,1.2,-0.3,-1.6,-2.2,-2.2,-2.1
2017-12-08,-0.9,0.0,-1.0,1.0,1.0,0.3,-0.8,-2.2,-2.9,-3.0,-3.0
2017-12-11,0.1,0.4,-0.4,0.2,0.2,-0.2,-0.4,-2.0,-2.9,-3.1,-3.1
2017-12-12,-0.1,0.9,-0.8,0.4,0.4,-0.7,-0.5,-2.0,-3.0,-3.4,-3.3
2017-12-13,1.1,1.6,-0.1,-1.3,-1.3,0.6,0.9,-0.4,-1.4,-1.9,-1.9
2017-12-14,1.8,2.0,-0.2,-1.6,-1.6,1.9,2.3,1.4,0.4,-0.2,-0.3
