วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-15,-1.6,0.4,-1.8,0.9,0.9,1.0,1.5,3.0,5.3,6.7,8.1
2017-11-16,-0.9,0.3,-1.6,0.8,0.8,-0.0,0.4,1.6,3.8,5.3,6.7
2017-11-17,-0.2,0.2,-0.4,0.0,0.0,-0.4,0.2,1.2,3.1,4.8,6.2
2017-11-20,0.4,0.7,-0.8,-0.4,-0.4,-0.2,0.6,1.2,3.0,4.8,6.2
2017-11-21,-0.6,0.5,-1.0,0.5,0.5,-0.3,0.0,0.5,2.0,3.8,5.1
2017-11-22,-0.5,0.4,-0.6,0.4,0.4,-0.5,-0.5,-0.1,1.0,3.0,4.2
2017-11-24,0.4,0.6,-0.3,-0.5,-0.5,0.0,-0.0,0.2,1.2,3.0,4.4
2017-11-27,1.1,1.3,-0.3,-1.0,-1.0,0.9,0.7,1.1,1.9,3.5,5.0
2017-11-28,-0.6,0.1,-1.6,1.2,1.2,-0.2,-0.5,-0.1,0.4,1.9,3.4
2017-11-29,-1.1,0.7,-1.5,1.5,1.5,-1.4,-1.7,-1.5,-1.2,0.0,1.6
