วันที่,เปิด,สูงสุด,ต่ำสุด,ปิด,ปิดปรับ,เพิ่มขึ้น5%,เพิ่มขึ้น10%,เพิ่มขึ้น15%,เพิ่มขึ้น20%,เพิ่มขึ้น25%,เพิ่มขึ้น30
2017-11-03,-2.4,1.3,-3.2,2.2,2.2,2.1,-0.5,0.2,1.6,4.2,6.3
2017-11-06,-9.6,0.0,-9.6,11.8,11.8,-7.0,-9.6,-9.8,-9.1,-6.9,-5.1
2017-11-07,-0.7,1.0,-2.4,0.0,0.0,-5.6,-8.3,-9.1,-8.8,-7.1,-5.2
2017-11-08,4.8,5.0,0.0,-5.0,-5.0,-0.6,-2.4,-4.0,-3.9,-2.4,-0.6
2017-11-09,-2.7,2.2,-3.4,3.5,3.5,-1.8,-4.4,-6.8,-6.9,-5.9,-4.2
2017-11-10,-0.2,1.2,-2.4,0.7,0.7,-0.6,-4.2,-6.9,-7.2,-6.7,-5.0
2017-11-13,-1.0,2.9,-1.9,0.2,0.2,-1.0,-3.6,-6.3,-7.1,-6.9,-5.4
2017-11-14,4.6,5.6,0.0,-5.1,-5.1,3.1,1.6,-0.8,-1.9,-2.0,-0.6
2017-11-15,1.8,3.4,0.0,-2.3,-2.3,4.9,3.7,2.0,0.5,0.2,1.3
2017-11-16,0.5,2.3,-0.5,0.0,0.0,3.5,4.2,2.6,0.5,0.2,0.9
