วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-30,0.9,1.2,-0.7,-0.3,-0.3,-0.3,0.0,-2.3,-3.7,-4.9,-5.7
2017-12-01,0.3,0.4,-1.2,0.1,0.1,-0.3,-0.4,-1.9,-3.4,-4.7,-5.5
2017-12-04,0.7,1.0,-0.3,-0.3,-0.3,0.2,-0.1,-1.1,-2.7,-4.0,-4.8
2017-12-05,-0.8,0.1,-0.9,0.8,0.8,-0.4,-0.9,-1.5,-3.1,-4.4,-5.3
2017-12-06,0.7,0.9,-0.0,-0.6,-0.6,0.1,-0.2,-0.5,-2.1,-3.4,-4.4
2017-12-07,0.3,0.8,-0.1,-0.5,0.0,0.1,-0.1,-0.0,-1.7,-3.0,-4.1
2017-12-08,-0.3,0.2,-0.4,-0.2,-0.2,0.2,0.1,0.0,-1.1,-2.5,-3.6
2017-12-11,0.0,0.4,-0.7,0.4,0.4,-0.1,-0.2,-0.4,-1.2,-2.5,-3.7
2017-12-12,0.2,0.6,-0.1,-0.2,-0.2,0.0,0.1,-0.1,-0.6,-1.9,-3.1
2017-12-13,-1.1,0.2,-1.2,1.1,1.1,-0.8,-0.9,-1.1,-1.4,-2.6,-3.8
