วันที่,เปิด,สูง,ต่ำ,ปิด,ปิดปรับ,เพิ่ม5%,เพิ่ม10%,เพิ่ม15%,เพิ่ม20%,เพิ่ม25%,เพิ่ม30
2017-11-28,-1.8,0.3,-2.3,0.9,0.9,-0.0,-1.5,-0.1,0.0,0.5,1.1
2017-11-29,-0.5,1.3,-1.2,-1.4,-1.4,1.2,0.0,1.0,1.5,1.6,2.4
2017-11-30,1.3,1.7,-0.6,-0.6,-0.6,1.4,0.9,1.2,1.9,2.0,2.8
2017-12-01,-1.2,1.4,-1.9,1.4,1.4,-0.3,-0.1,-0.4,0.5,0.5,1.3
2017-12-04,-0.3,2.4,-0.7,1.3,1.3,-1.3,-1.2,-1.8,-0.8,-0.8,-0.2
2017-12-05,-0.4,0.2,-2.1,-1.3,-1.3,-0.1,0.3,-0.6,0.4,0.6,1.0
2017-12-06,-1.7,0.8,-1.7,1.7,1.7,-1.3,-1.3,-2.0,-1.4,-1.0,-0.9
2017-12-07,-4.3,0.2,-4.3,3.4,3.4,-3.4,-4.1,-4.7,-4.6,-4.2,-4.2
2017-12-08,0.0,0.2,-0.8,0.9,0.9,-3.0,-4.5,-4.9,-5.4,-4.8,-4.9
2017-12-11,0.2,0.9,-0.5,0.3,0.3,-2.4,-4.2,-4.7,-5.5,-4.9,-5.1
